股票代码,industry_code,sector,csrc_class
600000,J66货币金融服务,J,证监会行业分类
600009,G56航空运输业,G,证监会行业分类
600010,C31黑色金属冶炼和压延加工业,C,证监会行业分类
600011,D44电力、热力生产和供应业,D,证监会行业分类
600015,J66货币金融服务,J,证监会行业分类
600016,J66货币金融服务,J,证监会行业分类
600018,G55水上运输业,G,证监会行业分类
600019,C31黑色金属冶炼和压延加工业,C,证监会行业分类
600023,D44电力、热力生产和供应业,D,证监会行业分类
600025,D44电力、热力生产和供应业,D,证监会行业分类
600026,G55水上运输业,G,证监会行业分类
600027,D44电力、热力生产和供应业,D,证监会行业分类
600028,B07石油和天然气开采业,B,证监会行业分类
600029,G56航空运输业,G,证监会行业分类
600030,J67资本市场服务,J,证监会行业分类
600031,C35专用设备制造业,C,证监会行业分类
600036,J66货币金融服务,J,证监会行业分类
600039,E48土木工程建筑业,E,证监会行业分类
600048,K70房地产业,K,证监会行业分类
600050,I63电信、广播电视和卫星传输服务,I,证监会行业分类
600061,J67资本市场服务,J,证监会行业分类
600066,C36汽车制造业,C,证监会行业分类
600085,C27医药制造业,C,证监会行业分类
600089,C38电气机械和器材制造业,C,证监会行业分类
600104,C36汽车制造业,C,证监会行业分类
600111,C32有色金属冶炼和压延加工业,C,证监会行业分类
600115,G56航空运输业,G,证监会行业分类
600150,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600160,C26化学原料和化学制品制造业,C,证监会行业分类
600161,C27医药制造业,C,证监会行业分类
600176,C30非金属矿物制品业,C,证监会行业分类
600183,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
600188,B06煤炭开采和洗选业,B,证监会行业分类
600196,C27医药制造业,C,证监会行业分类
600219,C32有色金属冶炼和压延加工业,C,证监会行业分类
600233,G60邮政业,G,证监会行业分类
600276,C27医药制造业,C,证监会行业分类
600309,C26化学原料和化学制品制造业,C,证监会行业分类
600346,C26化学原料和化学制品制造业,C,证监会行业分类
600362,C32有色金属冶炼和压延加工业,C,证监会行业分类
600372,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600377,G54道路运输业,G,证监会行业分类
600406,I65软件和信息技术服务业,I,证监会行业分类
600415,L72商务服务业,L,证监会行业分类
600426,C26化学原料和化学制品制造业,C,证监会行业分类
600436,C27医药制造业,C,证监会行业分类
600438,C38电气机械和器材制造业,C,证监会行业分类
600460,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
600482,C37铁路、船舶、航空航天和其他运输设备制造业,C,证监会行业分类
600489,B09有色金属矿采选业,B,证监会行业分类
600515,K70房地产业,K,证监会行业分类
600519,C15酒、饮料和精制茶制造业,C,证监会行业分类
600522,C38电气机械和器材制造业,C,证监会行业分类
600547,B09有色金属矿采选业,B,证监会行业分类
600570,I65软件和信息技术服务业,I,证监会行业分类
600584,C39计算机、通信和其他电子设备制造业,C,证监会行业分类
600585,C30非金属矿物制品业,C,证监会行业分类
600588,I65软件和信息技术服务业,I,证监会行业分类
600600,C15酒、饮料和精制茶制造业,C,证监会行业分类
600660,C30非金属矿物制品业,C,证监会行业分类
