股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000001,2026-06-12,1374.027875,1404.006665,1405.25578125,1359.03848,203235546,2263042930.57,3.38,37.47,1.0473,2.7422
000002,2026-06-12,421.6536597,424.3393518,428.36788995,416.2822755,141447624,444538051.4,2.88,5.37,1.4557,1.2821
000063,2026-06-12,528.2234756,497.4332471,529.5919302,494.6963379,261471118,9702654429.79,6.74,-19.98,6.4919,-3.8614
000100,2026-06-12,14.10119604,13.9783098,14.2855254,13.6710942,1201376692,5466612248.78,4.43,0.12,6.2794,0.8869
000157,2026-06-12,518.37045984,517.66615215,526.82215212,514.1446137,70101090,517871793.53,2.47,4.23,0.9916,0.823
000166,2026-06-12,6.9895211,7.1472981,7.1630758,6.9579657,148805617,669178544.61,2.94,0.17,0.6603,2.4887
000301,2026-06-12,25.00019712,25.78145328,26.2588876,24.80488308,22656081,266761898.56,5.77,0.59,0.3429,2.3256
000333,2026-06-12,476.65774,469.4937716,477.5602872,465.657946,42935287,3569548761.46,2.47,-11.96,0.6257,-2.4839
000338,2026-06-12,678.5817919,656.54078,681.8644958,655.1339069,131031426,3711317595.84,4.13,10.08,2.6454,1.5597
000408,2026-06-12,334.184604,340.48269846,347.6805207,328.74339314,19099178,1515731840.22,5.82,14.82,1.2174,4.552
000425,2026-06-12,298.10186112,303.42510864,309.08105913,293.77672251,219710098,2002845185.91,5.2,8.98,2.4411,3.0508
000538,2026-06-12,1161.10146312,1162.9401036,1178.56854768,1151.4486006,13699808,694467764.16,2.33,1.15,0.7727,0.0989
000568,2026-06-12,2487.08273136,2485.91289,2531.53670304,2473.04463504,14193939,1215345977.3,2.34,-14.04,0.9649,-0.5615
000596,2026-06-12,234.19772701,236.46650905,239.0323935,233.6305315,2277486,199969634.79,2.29,1.03,0.5574,0.4359
000617,2026-06-12,44.56449855,45.18777825,45.62407404,44.19053073,94018906,679991233.45,3.23,0.81,0.7437,1.8258
000625,2026-06-12,87.80460284,88.74620716,89.57011094,87.56920176,91864163,692558547.89,2.28,1.18,1.1112,1.3441
000630,2026-06-12,161.6121672,173.8555132,173.8555132,160.3878326,628978721,4356050981.01,8.53,15.92,5.6446,10.0775
000651,2026-06-12,6956.9918145,6989.6452311,7007.7860181,6911.639847,46132730,1772432563.12,1.38,5.44,0.8354,0.0779
000661,2026-06-12,450.90799718,463.7392795,463.7392795,445.74759016,15388576,1003880646.67,4.01,15.2,3.8509,3.3893
000708,2026-06-12,62.78862527,63.41966673,63.82533624,61.61669113,29390326,410792230.68,3.54,1.08,0.5823,1.7354
000725,2026-06-12,22.73969215,21.28740929,22.96899997,21.24919132,2914643393,16741278095.7,7.72,-0.99,8.2411,-4.4597
000768,2026-06-12,157.50137664,157.50137664,157.50137664,157.50137664,27859155,636860283.3,0.0,14.33,1.0034,10.0096
000776,2026-06-12,123.42207555,129.41594136,130.64049459,123.03537453,125357366,2488955284.64,6.16,5.99,2.1232,4.8564
