股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000001,2026-06-12,1374.027875,1404.006665,1405.25578125,1359.03848,203235546,2263042930.57,3.38,37.47,1.0473,2.7422
000001,2026-06-15,1400.25931625,1381.5225725,1400.25931625,1371.5296425,154130495,1711561286.57,2.05,-22.48,0.7943,-1.6014
000001,2026-06-16,1380.27345625,1366.5331775,1389.01727,1362.78582875,94270804,1034554249.38,1.9,-14.99,0.4858,-1.085
000001,2026-06-17,1370.28052625,1346.5473175,1372.77875875,1342.79996875,96582803,1046564895.54,2.19,-19.99,0.4977,-1.4625
000001,2026-06-18,1341.5508525,1314.070295,1345.29820125,1314.070295,142689316,1511009564.95,2.32,-32.48,0.7353,-2.4119
000002,2026-06-12,421.6536597,424.3393518,428.36788995,416.2822755,141447624,444538051.4,2.88,5.37,1.4557,1.2821
000002,2026-06-15,425.68219785,420.31081365,431.05358205,416.2822755,127420017,401086507.09,3.48,-4.03,1.3113,-0.9494
000002,2026-06-16,418.9679676,412.25373735,420.31081365,410.9108913,113953949,350247054.7,2.24,-8.06,1.1727,-1.9169
000002,2026-06-17,412.25373735,414.93942945,421.6536597,405.5395071,165419700,510109055.83,3.91,2.69,1.7024,0.6515
000002,2026-06-18,418.9679676,410.9108913,424.3393518,409.56804525,161508344,500693464.66,3.56,-4.03,1.6621,-0.9709
000063,2026-06-12,528.2234756,497.4332471,529.5919302,494.6963379,261471118,9702654429.79,6.74,-19.98,6.4919,-3.8614
000063,2026-06-15,499.62277446,509.33880212,513.170475,488.5382922,173493166,6385605445.09,4.95,11.91,4.3076,2.3934
000063,2026-06-16,504.9597474,520.012748,526.58133008,500.1701563,212886750,8030855249.42,5.19,10.67,5.2857,2.0956
000063,2026-06-17,513.170475,515.08631144,521.65489352,507.97034752,151487212,5690613089.72,2.63,-4.93,3.7612,-0.9474
000063,2026-06-18,511.93886586,518.50744794,528.77085744,506.46504746,218073777,8270111112.66,4.33,3.42,5.4145,0.6642
688472,2026-06-12,23.45068852,23.65537034,24.44485736,23.31910735,41286534,673320090.47,4.72,-0.19,0.4511,-0.7971
688472,2026-06-15,23.2460067,21.59393201,23.36296774,21.33076967,80664557,1209423815.18,8.59,-2.06,0.8814,-8.7145
688472,2026-06-16,21.3453898,20.97988655,21.56469175,20.77520473,52472276,758130012.8,3.66,-0.61,0.5733,-2.8436
688472,2026-06-17,20.97988655,20.468182,21.03836707,20.23425992,39011802,548542688.45,3.83,-0.51,0.4263,-2.439
688472,2026-06-18,20.48280213,19.7371755,20.64362356,19.5909742,52453308,716751920.62,5.14,-0.73,0.5731,-3.5714
000157,2026-06-12,518.37045984,517.66615215,526.82215212,514.1446137,70101090,517871793.53,2.47,4.23,0.9916,0.823
000157,2026-06-15,531.04799826,537.38676747,540.90830592,531.04799826,101467740,772710232.65,1.9,19.72,1.4353,3.8095
000157,2026-06-16,538.79538285,533.86522902,539.49969054,533.16092133,64318966,489217871.23,1.18,-3.52,0.9098,-0.6553
000157,2026-06-17,532.45661364,537.38676747,540.90830592,530.34369057,59721485,454788233.55,1.98,3.52,0.8448,0.6596
000157,2026-06-18,537.38676747,533.86522902,540.20399823,526.11784443,64321431,487530586.76,2.62,-3.52,0.9098,-0.6553
601825,2026-06-12,5.38462357,5.51898078,5.52931595,5.32261255,61344806,324003590.32,3.85,0.16,1.3444,2.8902
601825,2026-06-15,5.50864561,5.60166214,5.76702486,5.49831044,72326845,393462344.57,4.87,0.08,1.5851,1.4981
601825,2026-06-16,5.57065663,5.56032146,5.61199731,5.50864561,37099029,199511360.81,1.85,-0.04,0.8131,-0.738
601825,2026-06-17,5.52931595,5.48797527,5.5809918,5.46730493,34385403,183381769.01,2.04,-0.07,0.7536,-1.3011
601825,2026-06-18,5.46730493,5.30194221,5.48797527,5.29160704,39132187,203523761.56,3.58,-0.19,0.8576,-3.3898
601919,2026-06-12,25.5240356,25.9675034,25.9675034,25.4254872,160808054,840670409.69,2.12,0.39,0.7606,1.5414
601919,2026-06-15,25.9675034,25.7704066,25.9675034,25.6718582,145200765,760860909.62,1.14,-0.2,0.6868,-0.759
601919,2026-06-16,25.7211324,25.5240356,25.7704066,25.4747614,113055975,587138772.85,1.15,-0.25,0.5347,-0.956
601919,2026-06-17,25.5240356,25.3269388,25.6718582,25.2283904,117277945,604398882.91,1.74,-0.2,0.5547,-0.7722
601919,2026-06-18,25.3269388,24.6863742,25.3269388,24.6371,189703393,957600912.31,2.72,-0.64,0.8972,-2.5292
000333,2026-06-12,476.65774,469.4937716,477.5602872,465.657946,42935287,3569548761.46,2.47,-11.96,0.6257,-2.4839
000333,2026-06-15,467.914314,456.5196556,468.0835416,454.09406,43292554,3514282135.45,2.98,-12.97,0.6309,-2.7634
000333,2026-06-16,456.7452924,445.4070432,456.8581108,443.1506752,41523880,3291473114.58,3.0,-11.11,0.6051,-2.4342
000333,2026-06-17,445.4634524,446.8736824,450.427462,443.0378568,33447229,2647888308.23,1.66,1.47,0.4874,0.3293
000333,2026-06-18,446.9300916,439.99176,448.3967308,438.863576,36366779,2850857596.06,2.13,-6.88,0.53,-1.54
